"user.key";"datetime";"meter.reading";"diff"
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"25/03/2015 05:13:11";88057;0
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"25/03/2015 04:13:11";88057;0
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"25/03/2015 03:13:11";88057;0
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"25/03/2015 02:13:11";88057;92
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"24/03/2015 21:13:10";87965;22
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"24/03/2015 20:13:10";87943;2
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"24/03/2015 19:13:10";87941;18
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"24/03/2015 18:13:10";87923;124
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"24/03/2015 17:30:37";87799;26
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"24/03/2015 16:30:37";87773;33
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"24/03/2015 15:30:37";87740;29
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"24/03/2015 14:30:37";87711;27
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"24/03/2015 13:13:10";87684;3
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"24/03/2015 12:13:10";87681;11
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"24/03/2015 11:13:10";87670;17
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"24/03/2015 10:13:10";87653;22
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"24/03/2015 09:13:13";87631;285
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"24/03/2015 08:13:13";87346;70
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"24/03/2015 07:13:13";87276;2
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"24/03/2015 06:13:13";87274;0
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"24/03/2015 05:13:12";87274;0
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"24/03/2015 04:13:12";87274;0
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"24/03/2015 03:13:12";87274;4
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"24/03/2015 02:13:12";87270;0
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"24/03/2015 01:13:13";87270;1
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"24/03/2015 00:13:13";87269;24
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"23/03/2015 23:13:13";87245;36
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"23/03/2015 22:13:13";87209;19
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"23/03/2015 21:13:12";87190;12
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"23/03/2015 20:13:12";87178;4
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"23/03/2015 19:13:12";87174;121
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"23/03/2015 18:13:12";87053;21
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"23/03/2015 17:13:13";87032;8
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"23/03/2015 16:13:13";87024;88
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"23/03/2015 15:13:13";86936;37
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"23/03/2015 14:13:13";86899;292
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"23/03/2015 09:13:14";86607;44
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"23/03/2015 08:13:14";86563;37
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"23/03/2015 07:13:14";86526;1
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"23/03/2015 06:13:14";86525;0
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"23/03/2015 05:13:11";86525;0
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"23/03/2015 04:13:11";86525;1
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"23/03/2015 03:13:11";86524;0
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"23/03/2015 02:13:11";86524;1
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"23/03/2015 01:13:14";86523;1
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"23/03/2015 00:13:14";86522;14
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"22/03/2015 23:13:14";86508;18
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"22/03/2015 22:13:14";86490;26
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"22/03/2015 21:13:13";86464;11
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"22/03/2015 20:13:13";86453;44
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"22/03/2015 19:13:13";86409;21
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"22/03/2015 18:13:13";86388;17
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"22/03/2015 17:13:16";86371;16
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"22/03/2015 16:13:16";86355;62
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"22/03/2015 15:13:16";86293;49
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"22/03/2015 14:13:16";86244;37
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"22/03/2015 13:13:14";86207;20
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"22/03/2015 12:13:14";86187;259
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"22/03/2015 11:13:14";85928;112
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"22/03/2015 10:13:14";85816;59
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"22/03/2015 05:13:15";85757;7
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"22/03/2015 04:13:15";85750;1
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"22/03/2015 03:13:15";85749;0
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"22/03/2015 02:13:15";85749;6
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"22/03/2015 01:31:18";85743;20
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"22/03/2015 00:31:18";85723;9
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"21/03/2015 23:31:18";85714;10
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"21/03/2015 22:31:18";85704;252
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"21/03/2015 17:13:16";85452;15
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"21/03/2015 16:13:16";85437;18
